               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089211,             0.11663,            0.033368,            0.069441,            0.074756,            0.028639,           0.0063932,             0.07426,             0.12138,            0.029687,           0.0033275,           0.0033275,            0.070053
                   1,             0.07126,            0.092375,            0.024951,            0.073032,              0.3843,            0.056885,            0.014588,            0.076669,            0.086114,            0.012963,           0.0066604,           0.0066604,            0.040052
                   2,            0.072457,            0.065581,            0.012179,             0.23038,             0.45582,             0.28777,            0.083699,            0.075358,            0.086723,           0.0037266,           0.0099919,           0.0099919,             0.01005
                   3,            0.067971,            0.068671,           0.0075594,             0.30276,             0.42918,             0.24185,            0.067283,            0.068328,            0.072329,           0.0038459,            0.009995,            0.009995,            0.009995
                   4,            0.061898,            0.054763,           0.0047426,             0.83398,             0.51701,             0.60181,             0.16578,            0.058033,            0.068729,           0.0024759,            0.009995,            0.009995,            0.009995
                   5,            0.056961,            0.059438,           0.0036424,             0.59185,             0.76733,             0.69044,             0.28666,            0.054983,            0.064264,           0.0020602,           0.0099911,           0.0099911,           0.0099911
                   6,            0.054463,            0.053018,           0.0034225,             0.71949,             0.76622,             0.75554,             0.30474,            0.052306,             0.06252,           0.0015591,           0.0099861,           0.0099861,           0.0099861
                   7,            0.051412,            0.053416,           0.0024898,             0.73924,             0.76378,             0.77523,             0.22159,            0.052141,            0.064837,           0.0015919,             0.00998,             0.00998,             0.00998
                   8,             0.04695,             0.04909,           0.0023944,             0.72332,             0.68277,             0.70989,             0.27442,            0.051386,              0.0642,           0.0015714,           0.0099728,           0.0099728,           0.0099728
                   9,             0.04337,            0.048668,           0.0022885,              0.8862,             0.83436,               0.896,             0.41771,            0.042936,            0.062179,           0.0012355,           0.0099645,           0.0099645,           0.0099645
                  10,            0.042221,            0.049172,           0.0020715,             0.87265,             0.76521,             0.85289,             0.39925,            0.044437,            0.063287,           0.0014463,           0.0099551,           0.0099551,           0.0099551
                  11,            0.039654,            0.047212,             0.00217,             0.76396,               0.872,             0.86911,             0.39495,            0.041802,            0.063718,            0.001262,           0.0099446,           0.0099446,           0.0099446
                  12,            0.038021,            0.046543,           0.0022446,             0.87819,             0.79103,             0.87631,             0.36742,            0.042327,            0.065239,          0.00082668,            0.009933,            0.009933,            0.009933
                  13,            0.040416,            0.047822,           0.0017878,             0.83572,             0.88862,             0.87579,             0.43889,            0.040587,            0.063259,           0.0011707,           0.0099203,           0.0099203,           0.0099203
                  14,            0.037711,            0.046646,           0.0018119,             0.85089,             0.87934,             0.89307,             0.46193,            0.038355,            0.063971,            0.001187,           0.0099065,           0.0099065,           0.0099065
                  15,            0.035005,              0.0443,           0.0015768,             0.87731,             0.87457,             0.90564,             0.50939,            0.037396,            0.062696,           0.0010312,           0.0098916,           0.0098916,           0.0098916
                  16,             0.03743,            0.047077,           0.0016432,               0.876,             0.87615,             0.91237,             0.45923,            0.038782,            0.060333,           0.0015045,           0.0098757,           0.0098757,           0.0098757
                  17,             0.03627,            0.045054,             0.00166,             0.89885,             0.87824,              0.9099,             0.46559,            0.037338,            0.061452,           0.0012419,           0.0098586,           0.0098586,           0.0098586
                  18,            0.034741,            0.045449,           0.0016907,             0.84576,             0.89967,             0.89528,             0.50278,            0.038322,            0.061034,          0.00068126,           0.0098405,           0.0098405,           0.0098405
                  19,            0.035454,            0.044773,            0.001414,             0.88148,             0.90393,             0.91106,             0.51169,            0.037976,            0.060837,          0.00086806,           0.0098213,           0.0098213,           0.0098213
                  20,            0.034594,            0.045256,             0.00166,             0.84884,             0.89295,             0.87983,             0.46479,            0.039644,            0.063111,          0.00096437,           0.0098011,           0.0098011,           0.0098011
                  21,            0.032944,            0.043829,           0.0014943,             0.89126,             0.85559,             0.88936,             0.47462,            0.040391,            0.062834,          0.00097951,           0.0097798,           0.0097798,           0.0097798
                  22,            0.034838,            0.043578,            0.001133,              0.8812,              0.9273,             0.92102,             0.52395,            0.036506,            0.062548,           0.0012111,           0.0097574,           0.0097574,           0.0097574
                  23,             0.03289,            0.044277,           0.0014585,             0.89041,             0.90662,             0.91593,             0.45964,            0.036169,            0.062523,           0.0011966,            0.009734,            0.009734,            0.009734
                  24,            0.032191,             0.04199,           0.0014299,             0.90525,             0.89675,              0.9083,             0.40639,            0.039864,            0.064846,          0.00084392,           0.0097095,           0.0097095,           0.0097095
                  25,            0.033022,            0.042079,           0.0017959,             0.88039,             0.90465,             0.91482,              0.4962,            0.036809,             0.06197,           0.0011066,            0.009684,            0.009684,            0.009684
                  26,            0.032978,            0.044151,           0.0011518,             0.86694,             0.92583,             0.91219,             0.51476,            0.037653,            0.062989,            0.000941,           0.0096575,           0.0096575,           0.0096575
                  27,            0.032235,            0.042417,           0.0011345,             0.90118,             0.93175,             0.91702,             0.49753,            0.035221,            0.060652,             0.00102,           0.0096299,           0.0096299,           0.0096299
                  28,            0.031514,            0.042263,           0.0010072,              0.8695,             0.93282,              0.9029,             0.40512,            0.036765,            0.064108,          0.00086802,           0.0096013,           0.0096013,           0.0096013
                  29,            0.031989,            0.042537,          0.00093027,             0.86881,             0.89052,             0.89161,             0.48992,            0.037902,            0.063123,          0.00085657,           0.0095717,           0.0095717,           0.0095717
                  30,            0.029816,            0.041639,           0.0012664,             0.90728,             0.91487,             0.91503,             0.44734,            0.036962,             0.06544,          0.00072634,           0.0095411,           0.0095411,           0.0095411
                  31,            0.030368,            0.041177,           0.0012206,             0.86269,             0.90534,             0.87777,             0.45919,            0.038759,            0.063692,          0.00074704,           0.0095095,           0.0095095,           0.0095095
                  32,            0.029793,            0.041235,           0.0010905,             0.87865,             0.90965,             0.90712,             0.48685,            0.038218,            0.065026,          0.00073695,           0.0094769,           0.0094769,           0.0094769
                  33,            0.028712,            0.039837,           0.0010988,             0.90021,             0.88198,             0.90237,             0.48835,             0.03823,            0.066731,          0.00069694,           0.0094434,           0.0094434,           0.0094434
                  34,            0.029961,             0.04129,           0.0010332,             0.90648,             0.91639,             0.91767,             0.52967,            0.034282,            0.067117,          0.00080819,           0.0094088,           0.0094088,           0.0094088
                  35,            0.028842,            0.037901,           0.0010336,             0.85861,             0.91024,             0.92164,             0.53069,            0.036061,            0.068099,          0.00079547,           0.0093733,           0.0093733,           0.0093733
                  36,            0.029308,            0.040414,           0.0011344,             0.88531,             0.91979,             0.92113,              0.5412,            0.035649,            0.066109,           0.0009771,           0.0093369,           0.0093369,           0.0093369
                  37,            0.029915,            0.040069,          0.00090241,              0.8882,             0.91189,             0.90128,             0.52346,            0.035794,            0.068349,          0.00096192,           0.0092995,           0.0092995,           0.0092995
                  38,            0.029156,             0.04103,           0.0011733,             0.90867,             0.90046,             0.91087,             0.51379,            0.035366,            0.067213,          0.00094068,           0.0092611,           0.0092611,           0.0092611
                  39,            0.028008,            0.039718,            0.001044,             0.91003,             0.91048,             0.91482,             0.54397,            0.034687,            0.065941,          0.00088165,           0.0092219,           0.0092219,           0.0092219
                  40,            0.028134,            0.040112,            0.001008,             0.88744,             0.92404,             0.90361,             0.55698,            0.035147,            0.066281,          0.00080639,           0.0091817,           0.0091817,           0.0091817
